Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
374.45354868578545	4769.843248373829	6.701825592677301E-6	635.6898940987885	-3.8068307049943185E-6	250.64322889223695	-6.426318160032007E-6	142.00858702084847	-6.006114242049885E-6	99.85147849553161	-4.7236473378643176E-6	77.72527265006846	-4.312304428041378E-6	64.81029736995697	-4.8771904731958375E-6
375.3876341184342	4771.6884457608685	6.4955838873655115E-6	641.0440201374391	-3.87815858500951E-6	252.20867734253406	-7.077360194630009E-6	143.81834134140186	-6.014138221450548E-6	99.75044493956699	-4.5828111834712425E-6	81.43480365249243	-4.297104742112244E-6	66.44418669778567	-4.552298785024533E-6
376.32179576038976	4774.304505104199	6.443781588457657E-6	642.3476747336487	-3.9710647261070355E-6	252.74085809513926	-6.451743287296305E-6	144.70767753571272	-5.847899618731153E-6	101.31123706946771	-4.5307478822924715E-6	80.79569225013256	-4.0876572441391076E-6	66.29389623953746	-3.8691494817786666E-6
377.2559351612297	4773.426407682709	6.297087973517845E-6	643.429370863984	-4.28123156296487E-6	254.21156949847938	-6.461223805362133E-6	145.09587354958057	-5.7926509314639915E-6	101.9996747970581	-5.3823225966749696E-6	80.15866582366553	-3.922363541377307E-6	66.88123377871055	-3.4112541514160974E-6
378.1901459767791	4774.697042468935	6.1264839152670855E-6	643.781202333048	-4.1629768535771865E-6	254.0251496694982	-6.7671972082045985E-6	146.23871815736806	-5.8356905867862704E-6	102.31932557043102	-4.666540591586794E-6	80.49059605259787	-4.3007033926059434E-6	67.38750479771541	-4.544390323240366E-6
379.12424354445676	4774.674444867298	6.021582301772273E-6	643.8432501436522	-4.113788568120937E-6	254.95764691308142	-6.978449025394056E-6	146.25292493509394	-5.838109178912568E-6	101.92986206379202	-5.069080749595787E-6	81.77847782590173	-4.5430385525003445E-6	69.58864833357242	-3.6362518765286033E-6
380.0583861678811	4774.9027951983735	5.843596818396249E-6	644.8533081921438	-4.3307608223498175E-6	254.54336830750108	-6.9334650800260955E-6	146.26644838388478	-6.2490109373813994E-6	102.64664867437548	-5.232689345183725E-6	80.95363633266903	-4.243656461490751E-6	69.06541126393356	-3.7159543993810055E-6
380.9925326421226	4775.477904384024	5.886496080595416E-6	644.5437755820652	-4.3725509819664775E-6	255.12939387410879	-6.943633425813975E-6	147.09638939691442	-5.517568430947042E-6	102.49287196662691	-5.049747492675598E-6	81.58898885073987	-4.575654960422895E-6	71.66094650270847	-4.065166518093621E-6
381.92667860054587	4775.5485735544935	5.719344789507279E-6	643.9510591961443	-4.293247471380974E-6	255.4010149911046	-6.768944573156061E-6	145.92205864936113	-5.4399085408738545E-6	103.87074667629268	-4.923310443122862E-6	81.46971107274294	-5.057728104581932E-6	64.8040844133267	-4.129359875714231E-6
382.86086757421094	4772.470573320985	5.769459378039709E-6	639.7875931045661	-4.0217095253593585E-6	254.08489559218287	-7.333963830411227E-6	144.43742286733217	-5.562977615434351E-6	99.82639624261193	-5.135798949086411E-6	78.05954677272926	-3.880899851977569E-6	64.53696623387245	-4.888315732625725E-6
383.794975317355	4772.876801326871	5.887058886224015E-6	641.7645360839864	-4.403924620980493E-6	251.84743343293667	-7.0714876482609785E-6	143.38058717335974	-6.057474988238235E-6	100.07338622046842	-5.571772392530297E-6	79.15941886739297	-4.276639107782021E-6	65.99269409592335	-4.431126952248463E-6
384.7291709485019	4772.230051495135	6.118071894266092E-6	640.9023587523649	-4.263871257557809E-6	252.01978827491402	-6.531210880220264E-6	142.28145997119802	-6.0225298946585924E-6	99.01173138452901	-4.692805137595065E-6	78.6789344332435	-4.5638044072262305E-6	65.10124981861848	-4.150576015145906E-6
385.66328602444827	4772.6562815811485	6.240354804807463E-6	640.75353360114	-4.412054610373594E-6	250.58504276797174	-7.071616107157412E-6	141.91355253862483	-5.93772076952594E-6	99.83737876597378	-5.097430047069592E-6	78.57682788033377	-4.2133120075276516E-6	66.18507615132974	-4.331019279764467E-6
386.59741168379486	4771.221052966081	5.89037673869383E-6	640.4745717011392	-4.347892739504694E-6	250.99615449905394	-6.691194162025454E-6	141.30936581002814	-6.181659477331211E-6	98.1713939971394	-5.13836736738928E-6	77.91557930477641	-4.100957163674578E-6	64.15889480308844	-4.319797051214022E-6
387.531548333046	4770.736611220986	5.829631891994514E-6	639.8282654571036	-4.277054557690031E-6	250.67114916294813	-6.876235286486644E-6	141.7420716913683	-5.928150923463764E-6	98.10545481410291	-5.044502328794339E-6	77.57104383544488	-4.011139707895154E-6	65.51923559949948	-3.963323133490562E-6
388.4657896590209	4770.995131461881	6.025779890067888E-6	639.8334912794331	-4.185933387264778E-6	249.58323219418526	-6.755956227044377E-6	142.19590330230338	-5.990895181201669E-6	97.30155773129728	-5.302720185079132E-6	78.54162765836173	-4.645118509862887E-6	64.18551581181012	-4.917372046846084E-6
389.4000282843097	4770.26530324854	6.08188913155431E-6	639.7929674461484	-4.328750769914583E-6	250.18848316892982	-6.6733078253068386E-6	141.15053574315138	-6.226637658606694E-6	98.05103980584278	-5.484033999643152E-6	76.03811719878153	-4.042535073047759E-6	63.28780949746187	-4.72254856765304E-6
390.3341537165624	4769.893382565118	5.962024066259763E-6	639.2167397110412	-4.404474084435453E-6	249.55848837420345	-6.9098102629668945E-6	141.25830104521341	-6.0299860763176515E-6	97.89048071371184	-5.1270778603091765E-6	76.8787007433447	-4.582810034146236E-6	62.05986134650615	-3.0446293642357283E-6
391.2682892920961	4770.498531813733	6.1369502556590555E-6	639.0101943040887	-4.25387030930592E-6	250.26871510967612	-6.736438578685357E-6	140.9056554521833	-5.783363055568067E-6	97.15633278257317	-5.3883334650472385E-6	75.82601713863286	-5.107381364923328E-6	62.305620168837216	-3.7379241783354035E-6
392.20250984275293	4769.143843911588	5.747048751775902E-6	639.3162747894725	-4.32576199568363E-6	248.88356245681643	-6.807481829238811E-6	140.23383036042964	-5.891894208262221E-6	97.02063628120555	-5.21830132021573E-6	76.35352727432142	-4.159452254537204E-6	62.536438968892284	-3.79757340149266E-6
393.13661787247617	4769.483740659431	5.932423855889131E-6	638.7150524283448	-4.306716432265166E-6	249.19111181423068	-6.858908667910576E-6	140.30704339806522	-5.612448481024914E-6	96.94206230921878	-5.4671588577219195E-6	74.18575072017583	-4.309239224296882E-6	61.79235318303108	-3.578572877354223E-6
394.07071334016337	4769.89091402106	6.189308618317674E-6	638.4904547221959	-4.211862128314245E-6	248.99645662531256	-6.73690127018622E-6	140.22066974533456	-5.909649779804006E-6	96.6414876240823	-4.995535750193519E-6	74.98277160118927	-4.582841204586394E-6	62.396617670471855	-3.7745034642951917E-6
395.0047828414441	4769.409368489869	5.858829031423938E-6	638.2757881923268	-4.2250993128565575E-6	248.93517754375935	-6.610521382369915E-6	140.30940720864706	-6.281346720586313E-6	96.6456417987744	-5.145563909033285E-6	74.60930263792926	-5.0590840330201056E-6	62.30515275093225	-3.203023094138692E-6
395.9388964678045	4769.224014456384	5.80257186251807E-6	637.6190374574313	-4.2191035115936055E-6	248.51598948016763	-6.74099256266626E-6	139.90041826133216	-6.136054410696946E-6	95.89819437844886	-4.6651441757157965E-6	74.15231243182312	-4.939323241090051E-6	61.605412526772575	-4.783925522277129E-6
